Path length, A* time, HPA* time 
250, 4.0429, 1.4739
249, 11.9747, 0.3485
251, 2.084, 1.417
255, 6.3584, 1.5135
253, 15.5347, 5.284
254, 28.7705, 0.9186
257, 17.5695, 1.0792
259, 6.3639, 1.4806
256, 8.6445, 0.9302
258, 25.1478, 0.9908
261, 2.8008, 1.0015
263, 24.7622, 0.8972
262, 12.8139, 1.3244
260, 6.8214, 3.4073
266, 15.6727, 1.0776
264, 25.314, 1.6492
267, 2.9916, 1.8514
268, 9.1819, 2.5503
271, 8.3938, 0.3146
269, 15.9206, 1.0732
270, 13.1716, 0.4569
275, 8.9243, 1.0019
276, 6.8524, 1.5099
272, 3.7113, 0.3954
273, 12.4798, 0.7466
274, 6.4916, 0.315
280, 22.1931, 0.7867
277, 15.9898, 1.5907
278, 5.6956, 0.4511
279, 0.5096, 0.4759
281, 18.7992, 0.4218
283, 10.5166, 0.4472
282, 16.3685, 0.715
287, 10.8746, 1.3532
285, 3.3882, 0.4166
284, 22.7392, 1.9938
286, 7.849, 0.7883
289, 22.4168, 1.3368
292, 9.1135, 0.9695
290, 5.1212, 1.2391
291, 19.8029, 0.5421
296, 7.4032, 0.4565
294, 11.558, 1.0426
293, 10.1715, 1.0349
295, 9.5414, 1.2832
299, 11.7877, 1.1009
298, 14.6451, 1.3684
300, 7.0278, 0.6796
297, 5.6465, 0.403
302, 12.4586, 1.0862
303, 3.512, 1.435
301, 7.1772, 0.553
304, 4.5733, 0.7251
307, 6.8144, 1.3701
306, 13.5295, 3.2841
305, 0.5708, 0.5447
308, 21.295, 0.6575
311, 7.7753, 1.7129
310, 13.9367, 0.8004
315, 7.3494, 0.4178
313, 21.976, 0.8592
312, 9.105, 0.4405
314, 5.8796, 1.5848
316, 21.1056, 2.3838
318, 15.8842, 0.5528
319, 15.5703, 1.7136
317, 0.9804, 0.1987
320, 24.9442, 0.4992
323, 7.0821, 1.459
322, 24.9773, 0.5734
324, 18.1274, 0.7702
321, 23.9683, 0.6146
327, 24.8108, 0.8418
326, 31.6789, 0.6493
328, 15.9618, 1.4762
331, 33.497, 2.6681
330, 15.2443, 0.4482
329, 19.2783, 1.0544
332, 11.1289, 0.5196
334, 0.6058, 0.3674
333, 13.7313, 0.4858
335, 13.6224, 2.6936
336, 25.0744, 1.785
340, 20.2128, 0.875
339, 19.0127, 1.6262
338, 12.9892, 2.4449
337, 21.4061, 0.4441
342, 24.1212, 0.5732
344, 15.4744, 0.5224
343, 19.1684, 0.5103
341, 8.5774, 0.8722
346, 10.9131, 1.5685
347, 42.7377, 0.5197
345, 41.3071, 1.1315
349, 17.4568, 1.301
348, 33.3286, 1.7024
352, 27.3108, 0.9398
351, 31.7112, 0.5004
353, 33.7914, 1.1027
356, 17.6561, 0.7428
354, 25.1753, 1.8808
359, 7.5715, 0.4656
357, 26.8442, 1.2837
358, 6.8903, 2.3607
360, 27.8142, 0.6457
363, 29.556, 0.574
364, 29.7061, 1.0531
362, 5.3063, 0.9835
361, 26.6748, 1.1259
366, 28.0601, 1.3879
367, 9.2556, 0.7686
365, 21.3507, 0.5448
368, 19.1582, 0.5239
370, 20.4382, 1.2773
369, 16.8641, 1.1738
371, 29.2297, 0.6492
372, 18.1228, 0.8756
376, 7.5126, 1.6208
373, 21.1203, 0.9456
374, 4.2258, 0.8371
375, 2.005, 2.1824
377, 26.6192, 0.8269
380, 23.8171, 0.9687
378, 38.0244, 2.0053
383, 17.5316, 0.4675
382, 29.7922, 0.7744
381, 11.5264, 0.7918
386, 17.7448, 1.2889
385, 17.873, 0.6065
387, 24.9101, 0.4912
391, 11.2325, 1.2541
390, 10.1304, 1.2188
389, 29.2672, 1.0893
392, 47.3662, 1.6148
388, 3.557, 0.7192
395, 20.1394, 0.622
396, 23.6128, 1.7164
393, 16.8335, 1.5214
394, 9.8098, 0.5068
398, 17.0496, 0.6764
399, 43.1156, 2.1494
397, 34.384, 1.9344
401, 19.2824, 0.602
403, 52.9153, 1.6588
404, 20.479, 0.7616
402, 37.4185, 0.5849
400, 20.9462, 0.6373
405, 28.015, 0.7096
407, 29.5831, 2.3581
408, 35.9972, 0.8614
406, 33.1533, 2.0834
412, 41.1891, 0.7221
409, 25.9686, 1.8962
411, 20.6068, 3.1779
416, 11.9495, 0.4603
415, 39.9901, 1.256
413, 23.2086, 1.0802
414, 25.0414, 0.6569
417, 27.4813, 0.9568
419, 42.5253, 0.7258
418, 51.2665, 0.6856
420, 23.411, 0.6628
423, 11.1995, 0.8204
424, 48.47, 1.4369
421, 48.3368, 1.4936
427, 52.383, 1.2613
425, 38.1801, 0.6651
426, 10.6482, 1.4317
432, 28.2242, 2.5625
430, 37.8295, 1.1396
431, 26.9334, 0.8109
435, 36.386, 0.8832
434, 20.4557, 1.0271
433, 13.4095, 1.5007
437, 54.9677, 0.8032
439, 34.993, 1.6206
438, 26.624, 0.571
436, 29.4448, 0.6705
442, 25.9306, 0.6335
443, 29.283, 0.9333
441, 50.1216, 1.0478
444, 38.5693, 1.4666
445, 23.6854, 2.2972
448, 16.5548, 0.6117
446, 28.8746, 1.1158
447, 57.2515, 0.9283
452, 13.0002, 0.6187
451, 34.2227, 1.0542
450, 18.4926, 2.1961
449, 29.3518, 1.106
455, 40.7914, 1.4072
456, 41.638, 1.4665
454, 39.7718, 1.5382
453, 39.8473, 0.6362
459, 53.1896, 1.2828
457, 33.9025, 0.9951
458, 9.3052, 1.1471
460, 57.0266, 2.2043
463, 75.1492, 0.8874
464, 23.0874, 0.654
461, 18.0767, 1.6161
462, 39.7364, 1.8933
467, 41.5685, 0.8435
465, 35.5715, 5.5688
466, 31.8147, 3.1209
471, 37.2818, 1.6511
